Date,ALL,é¿å¯çƒê∂éYêîB,é¿å¯çƒê∂éYêîN
2022/8/10,250377.0,1.0013706639381839,1.0061817674049327
2022/8/11,240169.0,1.0013480676038313,1.0053623396131113
2022/8/12,168793.0,0.9578827380798356,0.9904554655919074
2022/8/13,183587.0,0.927824678251555,0.9807590514628103
2022/8/14,178329.0,0.9500704788753858,0.973471827955301
2022/8/15,138577.0,0.9804371650285123,0.9739643800872774
2022/8/16,166174.0,0.9667500721778463,0.9641760815310878
2022/8/17,231472.0,0.9524455264387046,0.9601242534389763
2022/8/18,255508.0,0.9973107210676272,0.9630637720576553
2022/8/19,261004.0,1.0822813233254354,0.9942102706689575
2022/8/20,253248.0,1.1224040410150933,1.0169014034080808
2022/8/21,226128.0,1.083031079750412,1.032122224879987
2022/8/22,141018.0,1.0338473312888394,1.0324303085161928
2022/8/23,208516.0,1.029229605426761,1.0507563017230948
2022/8/24,243451.0,1.0353986049348605,1.0573599782130096
2022/8/25,220917.0,0.9856604185189366,1.04723453211358
2022/8/26,192377.0,0.9350369727473499,1.0140906054674992
2022/8/27,180125.0,0.9088003335302088,0.9859376610621854
2022/8/28,157788.0,0.9047807196152539,0.9633035582451727
2022/8/29,95898.0,0.919676156009209,0.953518299321734
2022/8/30,152529.0,0.9247823227634148,0.9342976054690257
2022/8/31,169771.0,0.9001849012217953,0.9161456065381964
2022/9/1,149868.0,0.8835727243108878,0.905561788135824
2022/9/2,128691.0,0.8847832872272652,0.9017988607259931
2022/9/3,123072.0,0.890072981801893,0.9001904768581925
2022/9/4,107781.0,0.896527395208134,0.8994408424419773
2022/9/5,68019.0,0.9203307634789494,0.9003734983242042
2022/9/6,112175.0,0.9264421470229945,0.8999017872817443
2022/9/7,129771.0,0.9106910843352068,0.9033634618576586
2022/9/8,112391.0,0.9098451552694569,0.9074670854932396
2022/9/9,99474.0,0.9186040125607626,0.9130976274839293
2022/9/10,92721.0,0.9238163448011255,0.9171661787948443
2022/9/11,81470.0,0.9247199684329259,0.921211011060324
2022/9/12,52897.0,0.9426399494969072,0.923464071742511
2022/9/13,87548.0,0.9428910909297277,0.925854836857405
2022/9/14,100249.0,0.9204742553594586,0.9262876594282599
2022/9/15,85851.0,0.9145750542458005,0.9272274702164175
2022/9/16,75931.0,0.9200909453530116,0.9267158034928331
2022/9/17,70964.0,0.9245264157544859,0.9274310408689619
2022/9/18,64018.0,0.9320075537528592,0.9287966179044723
2022/9/19,38048.0,0.9417905606314537,0.9271921969897777
2022/9/20,31738.0,0.8685311224318923,0.9072509684569554
2022/9/21,69821.0,0.8349856202246804,0.9017262763288808
2022/9/22,77371.0,0.916649350148565,0.9078384027309254
2022/9/23,63849.0,0.9528795451576755,0.9107929348547402
2022/9/24,39198.0,0.8975253043415262,0.9001826907304359
2022/9/25,46766.0,0.8821141437535022,0.8965873584256803
2022/9/26,43563.0,0.9694383181050039,0.9076552002326087
2022/9/27,40399.0,1.038648712754675,0.9435998002553694
2022/9/28,49792.0,0.9694659769114653,0.9472192016865603
2022/9/29,42194.0,0.8550898109285057,0.9250425215242611
2022/9/30,36671.0,0.8272417977602802,0.9097164645393789
2022/10/1,35418.0,0.9049671384849629,0.9272274893753255
2022/10/2,29489.0,0.9294768958714997,0.9234124290804835
2022/10/3,15182.0,0.8451236927711048,0.891574737675932
2022/10/4,39550.0,0.8946765348111528,0.8848724540272684
2022/10/5,41038.0,0.9614561801360654,0.8894638539849307
2022/10/6,33495.0,0.9297088958340046,0.9062795434436927
2022/10/7,29844.0,0.935184644029022,0.921184975447062
2022/10/8,26758.0,0.9329111127476251,0.9141884633583237
2022/10/9,22711.0,0.9310852796228841,0.921640132907073
2022/10/10,13040.0,0.9585802113709393,0.9476907584753487
2022/10/11,13123.0,0.8630296579696805,0.9122055561663103
2022/10/12,45471.0,0.8934585052994632,0.9280367749239038
2022/10/13,45676.0,1.0922953852307384,0.955192151320487
2022/10/14,36590.0,1.102617625052862,0.9727508810307454
2022/10/15,34978.0,1.0761152052404857,0.9949707580635666
2022/10/16,29664.0,1.0746082244589883,1.0134221776430397
2022/10/17,15388.0,1.0439578617035856,1.0195236860077044
2022/10/18,42294.0,1.1442239935573024,1.0984649720644015
2022/10/19,43555.0,1.1233872063017791,1.0884614665035366
2022/10/20,36110.0,0.9540832036982976,1.0568160462432203
2022/10/21,31593.0,0.9413125390396744,1.0403681164390863
2022/10/22,34173.0,0.9756810113211976,1.0276423521097096
2022/10/23,30873.0,1.0017295853276365,1.0197010011729648
