Date,ALL,ä¥êıé“_MAV,ä¥êıé“_TMA,é¿å¯çƒê∂éYêîC,é¿å¯çƒê∂éYêîK,é¿å¯çƒê∂éYêîK_7ïΩãœ,é¿å¯çƒê∂éYêîB,é¿å¯çƒê∂éYêîN,é¿å¯çƒê∂éYêîB_dì˙å„,é¿å¯çƒê∂éYêîN_dì˙å„
2022/5/10,49834.0,40088.142857142855,36589.81632653061,1.1082633870423977,1.063282123360584,1.0719798918852208,1.0840349006271022,1.0197825650991017,1.0669400395174067,1.0488273646831985
2022/5/11,45415.0,38653.0,37235.30612244898,1.0753699862226809,1.0459205755478165,1.0455060298085646,1.0896870245064325,1.0430075919308244,1.0418709249367368,1.0338315591905418
2022/5/12,38604.0,37287.57142857143,37315.22448979591,1.0423179327189414,1.0198254114421264,1.020215066415671,1.0841038619073098,1.0611996703739601,1.0184178404271458,1.0175341790547667
2022/5/13,36996.0,36615.57142857143,36966.448979591834,1.0103073110380845,0.9927795103396491,1.0033077261783707,1.0669400395174067,1.0708219114144788,1.002499360254611,1.002390061525099
2022/5/14,39537.0,35760.857142857145,36206.857142857145,0.9789858638435484,0.9702971813222816,0.9903556163851809,1.0418709249367368,1.069084081585757,0.9901513368188172,0.9898603851579303
2022/5/15,30594.0,35309.71428571428,35578.91836734694,0.9625782567451784,0.9624651366158834,0.9800108673643833,1.0184178404271458,1.0609386409245922,0.9800748987283897,0.9811178343577595
2022/5/16,15329.0,35050.28571428572,35069.38775510205,0.9586861893101732,0.9685841446202548,0.9729770222267465,1.002499360254611,1.0488273646831985,0.9730278583243573,0.9744452379873967
2022/5/17,43851.0,34771.0,34604.67346938775,0.9605047967961363,0.9726173548082532,0.9687961938103598,0.9901513368188172,1.0338315591905418,0.9687847536741655,0.9688117698273907
2022/5/18,42257.0,34257.42857142857,34140.30612244898,0.9633003881993314,0.9735073324022344,0.9664456183535448,0.9800748987283897,1.0175341790547667,0.96651674361799,0.9637857395367637
2022/5/19,36788.0,33720.857142857145,33586.89795918367,0.9620035717442201,0.970588495478669,0.9637074948242331,0.9730278583243573,1.002390061525099,0.9639804508564025,0.958758086383889
2022/5/20,35041.0,33362.57142857143,32894.65306122449,0.9558629225967357,0.9635137114249421,0.958695234596974,0.9687847536741655,0.9898603851579303,0.9591751759486591,0.953134988158917
2022/5/21,35942.0,32510.285714285714,32036.632653061217,0.9456639681000948,0.9538431531245783,0.952081544177401,0.96651674361799,0.9811178343577595,0.9527572951162243,0.9466788917511549
2022/5/22,26838.0,31435.85714285714,31029.4693877551,0.9332078835330033,0.9432982719107006,0.9440689525572267,0.9639804508564025,0.9744452379873967,0.9449372816753029,0.9393232066415913
2022/5/23,12821.0,30204.571428571428,29906.14285714285,0.9204160180416658,0.9334983230294402,0.9348404504259563,0.9591751759486591,0.9688117698273907,0.9359097697734765,0.9316143476506465
2022/5/24,37885.0,28764.85714285714,28743.265306122452,0.9098123718427794,0.9263215218712431,0.9255016951885514,0.9527572951162243,0.9637857395367637,0.9267339722164676,0.9240969045638949
2022/5/25,34736.0,27207.285714285714,27436.4693877551,0.8976417446708016,0.9174191910610134,0.9170856072481183,0.9449372816753029,0.958758086383889,0.9183783173069285,0.916995701899462
2022/5/26,28169.0,25857.571428571428,26041.081632653066,0.8847796158468427,0.9059889805597763,0.9101359680356842,0.9359097697734765,0.953134988158917,0.9113503993245036,0.911011092903996
2022/5/27,24963.0,25222.428571428572,24641.85714285715,0.8737699816509301,0.8981424247631079,0.9048786534042426,0.9267339722164676,0.9466788917511549,0.9058505504931141,0.9066631637088166
2022/5/28,25039.0,23362.714285714286,23304.959183673465,0.8665240717403414,0.8949305375415451,0.900876123686919,0.9183783173069285,0.9393232066415913,0.9014491707738198,0.9041878084330242
